Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:2:45,0:2:49,165,I'm gonna turn over the next card. I want you to concentrate.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 61,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.431192,
        ""joy"": 0.139093,
        ""fear"": 0.17319,
        ""disgust"": 0.019236,
        ""anger"": 0.08008
      }
    }
  }
}",en,0.431192,0.139093,0.17319,0.019236,0.08008
1,0:2:50,0:2:52,170,I want you to tell me what you think it is.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.204706,
        ""joy"": 0.355557,
        ""fear"": 0.097089,
        ""disgust"": 0.027283,
        ""anger"": 0.072823
      }
    }
  }
}",en,0.204706,0.355557,0.097089,0.027283,0.072823
2,0:2:58,0:2:59,178,Square.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 7,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.254937,
        ""joy"": 0.524515,
        ""fear"": 0.047934,
        ""disgust"": 0.071648,
        ""anger"": 0.023701
      }
    }
  }
}",en,0.254937,0.524515,0.047934,0.071648,0.023701
3,0:3:0,0:3:2,180,Good guess. But wrong.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.384439,
        ""joy"": 0.444068,
        ""fear"": 0.107263,
        ""disgust"": 0.038369,
        ""anger"": 0.094663
      }
    }
  }
}",en,0.384439,0.444068,0.107263,0.038369,0.094663
4,0:3:11,0:3:13,191,Clear your head.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 16,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.122563,
        ""joy"": 0.137737,
        ""fear"": 0.236803,
        ""disgust"": 0.026532,
        ""anger"": 0.132171
      }
    }
  }
}",en,0.122563,0.137737,0.236803,0.026532,0.132171
5,0:3:15,0:3:18,195,All right. Tell me what you think it is.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 40,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.204706,
        ""joy"": 0.355557,
        ""fear"": 0.097089,
        ""disgust"": 0.027283,
        ""anger"": 0.072823
      }
    }
  }
}",en,0.204706,0.355557,0.097089,0.027283,0.072823
6,0:3:20,0:3:21,200,Is it a star?,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 13,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.098477,
        ""joy"": 0.407162,
        ""fear"": 0.235127,
        ""disgust"": 0.029314,
        ""anger"": 0.045586
      }
    }
  }
}",en,0.098477,0.407162,0.235127,0.029314,0.045586
7,0:3:22,0:3:26,202,It is a star. Very good. That's great.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 38,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.069801,
        ""joy"": 0.823527,
        ""fear"": 0.061291,
        ""disgust"": 0.010142,
        ""anger"": 0.024133
      }
    }
  }
}",en,0.069801,0.823527,0.061291,0.010142,0.024133
8,0:3:26,0:3:29,206,Okay. All right.,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 16,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.204706,
        ""joy"": 0.355557,
        ""fear"": 0.097089,
        ""disgust"": 0.027283,
        ""anger"": 0.072823
      }
    }
  }
}",en,0.204706,0.355557,0.097089,0.027283,0.072823
9,0:3:30,0:3:33,210,Think hard. What is it?,Ghostbusters,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 23,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.38185,
        ""joy"": 0.130063,
        ""fear"": 0.175079,
        ""disgust"": 0.028229,
        ""anger"": 0.064188
      }
    }
  }
}",en,0.38185,0.130063,0.175079,0.028229,0.064188
