Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:48,0:0:51,48,"Rachel, let me see.",Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 19,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.071837,
        ""joy"": 0.321758,
        ""fear"": 0.332258,
        ""disgust"": 0.02842,
        ""anger"": 0.165808
      }
    }
  }
}",en,0.071837,0.321758,0.332258,0.02842,0.165808
1,0:0:57,0:1:0,57, Can I see?  Finders keepers. And I found it.,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.191788,
        ""joy"": 0.450392,
        ""fear"": 0.185828,
        ""disgust"": 0.03179,
        ""anger"": 0.063578
      }
    }
  }
}",en,0.191788,0.450392,0.185828,0.03179,0.063578
2,0:1:0,0:1:2,60,In my garden.,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 13,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.296903,
        ""joy"": 0.705039,
        ""fear"": 0.0674,
        ""disgust"": 0.007539,
        ""anger"": 0.020324
      }
    }
  }
}",en,0.296903,0.705039,0.0674,0.007539,0.020324
3,0:1:3,0:1:5,63,Finders keepers.,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 16,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.059309,
        ""joy"": 0.73297,
        ""fear"": 0.266231,
        ""disgust"": 0.015522,
        ""anger"": 0.090364
      }
    }
  }
}",en,0.059309,0.73297,0.266231,0.015522,0.090364
4,0:1:12,0:1:14,72,Bruce?,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 6,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.015869,
        ""joy"": 0.284978,
        ""fear"": 0.153496,
        ""disgust"": 0.232803,
        ""anger"": 0.179002
      }
    }
  }
}",en,0.015869,0.284978,0.153496,0.232803,0.179002
5,0:1:19,0:1:20,79,Bruce?,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 6,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.015869,
        ""joy"": 0.284978,
        ""fear"": 0.153496,
        ""disgust"": 0.232803,
        ""anger"": 0.179002
      }
    }
  }
}",en,0.015869,0.284978,0.153496,0.232803,0.179002
6,0:1:23,0:1:25,83,Mom! Mr. Alfred!,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 16,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.264154,
        ""joy"": 0.517698,
        ""fear"": 0.073535,
        ""disgust"": 0.014975,
        ""anger"": 0.078163
      }
    }
  }
}",en,0.264154,0.517698,0.073535,0.014975,0.078163
7,0:1:48,0:1:50,108,Did you have dream?,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 19,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.192373,
        ""joy"": 0.295893,
        ""fear"": 0.180499,
        ""disgust"": 0.015582,
        ""anger"": 0.031676
      }
    }
  }
}",en,0.192373,0.295893,0.180499,0.015582,0.031676
8,0:1:51,0:1:53,111,Nightmare.,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 10,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.510764,
        ""joy"": 0.003177,
        ""fear"": 0.544446,
        ""disgust"": 0.011426,
        ""anger"": 0.030498
      }
    }
  }
}",en,0.510764,0.003177,0.544446,0.011426,0.030498
9,0:1:57,0:1:59,117,Worse than this place?,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.59834,
        ""joy"": 0.009888,
        ""fear"": 0.15136,
        ""disgust"": 0.102739,
        ""anger"": 0.160076
      }
    }
  }
}",en,0.59834,0.009888,0.15136,0.102739,0.160076
10,0:2:21,0:2:23,141,They are going to fight you.,Batman Begins,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.327524,
        ""joy"": 0.040925,
        ""fear"": 0.254863,
        ""disgust"": 0.040682,
        ""anger"": 0.236415
      }
    }
  }
}",en,0.327524,0.040925,0.254863,0.040682,0.236415
