Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:2:47,0:2:49,167,"Oh, this is great.",Ghost
1,0:2:50,0:2:51,170,That's incredible.,Ghost
2,0:2:51,0:2:55,171,There's got to be 7 or 8 feet up there.,Ghost
3,0:2:55,0:2:57,175,And 80 years of dust.,Ghost
4,0:2:57,0:2:59,177,Look at all this height.,Ghost
5,0:2:59,0:3:0,179,"With our bedroom upstairs,",Ghost
6,0:3:0,0:3:1,180,we'd have all this space.,Ghost
7,0:3:2,0:3:3,182,For what?,Ghost
8,0:3:3,0:3:4,183,Just space.,Ghost
9,0:3:6,0:3:7,186,1...,Ghost
10,0:3:7,0:3:9,187,2...,Ghost
11,0:3:9,0:3:10,189,3!,Ghost
12,0:3:12,0:3:13,192,And 4?,Ghost
13,0:3:16,0:3:17,196,And 5?,Ghost
14,0:3:19,0:3:21,199,Watch it. Watch it.,Ghost
15,0:3:21,0:3:23,201,"God, this place is huge.",Ghost
16,0:3:26,0:3:27,206,It's beautiful.,Ghost
17,0:3:28,0:3:29,208,God!,Ghost
18,0:3:29,0:3:32,209,"You guys, it's absolutely incredible.",Ghost
19,0:3:32,0:3:33,212,Incredible.,Ghost
20,0:3:33,0:3:36,213,"A little paint, you could sell this tomorrow",Ghost
21,0:3:36,0:3:38,216,and double your money.,Ghost
22,0:3:38,0:3:40,218,"Carl, you're obsessed.",Ghost
23,0:3:40,0:3:42,220,A little bit.,Ghost
24,0:3:42,0:3:43,222,"Whoa, look!",Ghost
25,0:3:46,0:3:48,226,"Hey, it's an Indian head penny.",Ghost
26,0:3:48,0:3:50,228,1898.,Ghost
27,0:3:52,0:3:54,232,It's a good omen.,Ghost
28,0:3:55,0:3:57,235,You're the good omen.,Ghost
29,0:4:1,0:4:3,241,"Oh, it's so great.",Ghost
30,0:4:12,0:4:15,252,I had Rose move your 3:00 to 4:00.,Ghost
31,0:4:15,0:4:17,255,Gary Allen called late yesterday.,Ghost
32,0:4:17,0:4:19,257,He has to see you,Ghost
33,0:4:19,0:4:21,259,about the final painting bids for the loft.,Ghost
34,0:4:21,0:4:24,261,3:00 is the only time he can make it.,Ghost
35,0:4:25,0:4:27,265,Sam?,Ghost
36,0:4:30,0:4:31,270,"Huh? Oh, I'm sorry.",Ghost
37,0:4:31,0:4:34,271,Relax. This isn't brain surgery you're going into.,Ghost
38,0:4:34,0:4:37,274,Pitching these Japanese guys makes me so nervous.,Ghost
39,0:4:37,0:4:39,277,Sam...,Ghost
40,0:4:39,0:4:41,279,"you're going to be great, OK?",Ghost
41,0:4:42,0:4:44,282,What am I supposed to say?,Ghost
42,0:4:44,0:4:45,284,I can't tell them,Ghost
43,0:4:45,0:4:48,285,"my Swedish pompom girl joke, you know.",Ghost
44,0:4:48,0:4:51,288,Those are great. Where'd you get those?,Ghost
45,0:4:51,0:4:52,291,"Nice, huh? Molly.",Ghost
46,0:4:52,0:4:55,292,What do you think? Are they me?,Ghost
47,0:4:55,0:4:57,295,"Man, look at that. A Testarossa.",Ghost
48,0:4:58,0:4:59,298,Ouch.,Ghost
49,0:4:59,0:5:0,299,Pay off your Mustang first.,Ghost
50,0:5:11,0:5:12,311,How are you feeling?,Ghost
51,0:5:12,0:5:14,312,What did the doctor say?,Ghost
52,0:5:14,0:5:16,314,"He said it was contagious,",Ghost
53,0:5:16,0:5:17,316,that it was really...,Ghost
54,0:5:17,0:5:18,317,No.,Ghost
55,0:5:18,0:5:22,318,He said I shouldn't be coming in today.,Ghost
56,0:5:22,0:5:23,322,What about the rash?,Ghost
57,0:5:25,0:5:26,325,The rash?,Ghost
58,0:5:27,0:5:28,327,The rash is...,Ghost
59,0:5:29,0:5:30,329,also incredibly contagious.,Ghost
60,0:5:30,0:5:32,330,He said they've both been spreading.,Ghost
61,0:5:32,0:5:33,332,No.,Ghost
62,0:5:37,0:5:39,337,On your genitals again?,Ghost
63,0:5:39,0:5:40,339,Yeah.,Ghost
64,0:5:40,0:5:42,340,"Yeah, right on the genitals.",Ghost
65,0:5:42,0:5:43,342,Basically everywhere.,Ghost
66,0:5:44,0:5:46,344,He said that I shouldn't touch anyone.,Ghost
67,0:5:47,0:5:49,347,Excuse me. I'm sorry.,Ghost
68,0:5:53,0:5:54,353,You're sick.,Ghost
69,0:5:54,0:5:55,354,I know.,Ghost
70,0:5:55,0:5:56,355,"Morning, Paul.",Ghost
71,0:5:56,0:5:57,356,"Morning, Carl, Sam.",Ghost
72,0:5:57,0:5:58,357,"Hey, Paul.",Ghost
73,0:5:59,0:6:0,359,"Morning, Mr. Wheat.",Ghost
74,0:6:0,0:6:1,360,"Morning, Susan. You're looking good.",Ghost
75,0:6:1,0:6:2,361,Sam?,Ghost
76,0:6:3,0:6:4,363,"Oh, yeah, yeah, yeah.",Ghost
77,0:6:6,0:6:7,366,Here it is.,Ghost
78,0:6:7,0:6:8,367,Thanks.,Ghost
79,0:6:11,0:6:12,371,"Morning, Sam.",Ghost
80,0:6:12,0:6:14,372,"Morning. Listen, the Kobiashi people",Ghost
81,0:6:14,0:6:16,374,They're already here.,Ghost
82,0:6:16,0:6:17,376,They're early.,Ghost
83,0:6:17,0:6:18,377,I know.,Ghost
84,0:6:18,0:6:21,378,Come here. How long have they been here?,Ghost
85,0:6:21,0:6:23,381,About 10 minutes.,Ghost
86,0:6:23,0:6:24,383,Andy Dillon called,Ghost
87,0:6:24,0:6:28,384,"and says he needs $900,000 transferred to Albany by 10:00.",Ghost
88,0:6:28,0:6:29,388,By 10:00?,Ghost
89,0:6:29,0:6:30,389,Yes.,Ghost
90,0:6:32,0:6:33,392,Carl?,Ghost
91,0:6:34,0:6:35,394,Yeah?,Ghost
92,0:6:38,0:6:40,398,"Dillon needs 900,000 in Albany by 10:00.",Ghost
93,0:6:40,0:6:43,400,Can you transfer it to his payroll account?,Ghost
94,0:6:43,0:6:45,403,I'll need your Mac code.,Ghost
95,0:6:45,0:6:46,405,OK.,Ghost
96,0:6:52,0:6:53,412,"Discretion, right?",Ghost
97,0:6:53,0:6:54,413,Got it.,Ghost
98,0:6:54,0:6:57,414,You bet. I'll do it right now.,Ghost
99,0:6:57,0:6:59,417,"Bill, I'll call you back.",Ghost
100,0:7:10,0:7:12,430,"OK, OK, that's fine. That's fine.",Ghost
101,0:7:12,0:7:13,432,That's fine!,Ghost
102,0:7:15,0:7:17,435,"Aw, man, it's too far out.",Ghost
103,0:7:18,0:7:20,438,"Can you get this, man?",Ghost
104,0:7:20,0:7:22,440,"Where are you guys from,",Ghost
105,0:7:22,0:7:24,442,the New York City Ballet?,Ghost
106,0:7:29,0:7:30,449,Almost.,Ghost
107,0:7:34,0:7:36,454,Saved your life!,Ghost
108,0:7:36,0:7:37,456,You shit.,Ghost
109,0:7:37,0:7:38,457,You scared me to death.,Ghost
110,0:7:38,0:7:40,458,Why'd you do that?,Ghost
111,0:7:40,0:7:42,460,It's better than seeing this gorgeous body,Ghost
112,0:7:42,0:7:44,462,splattered all over the place.,Ghost
113,0:7:44,0:7:45,464,Look out.,Ghost
114,0:7:51,0:7:54,471,Sam? Molly? You guys home?,Ghost
115,0:7:54,0:7:55,474,Did you invite Carl?,Ghost
116,0:7:55,0:7:56,475,Slave labor.,Ghost
