Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:3:12,0:3:14,192,Hi. I've got an appointment with Mr. Ullman.,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 44,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.148583,
        ""joy"": 0.37702,
        ""fear"": 0.100437,
        ""disgust"": 0.062736,
        ""anger"": 0.083315
      }
    }
  }
}",en,0.148583,0.37702,0.100437,0.062736,0.083315
1,0:3:15,0:3:17,195,My name is Jack Torrance.,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.092358,
        ""joy"": 0.458345,
        ""fear"": 0.223135,
        ""disgust"": 0.064535,
        ""anger"": 0.047901
      }
    }
  }
}",en,0.092358,0.458345,0.223135,0.064535,0.047901
2,0:3:17,0:3:19,197,His office is the first door on the left.,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 41,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.356934,
        ""joy"": 0.022114,
        ""fear"": 0.171754,
        ""disgust"": 0.026401,
        ""anger"": 0.22657
      }
    }
  }
}",en,0.356934,0.022114,0.171754,0.026401,0.22657
3,0:3:20,0:3:21,200,Thank you.,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 10,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.204706,
        ""joy"": 0.355557,
        ""fear"": 0.097089,
        ""disgust"": 0.027283,
        ""anger"": 0.072823
      }
    }
  }
}",en,0.204706,0.355557,0.097089,0.027283,0.072823
4,0:3:38,0:3:39,218,Mr. Ullman?,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.129088,
        ""joy"": 0.435201,
        ""fear"": 0.112618,
        ""disgust"": 0.152135,
        ""anger"": 0.055425
      }
    }
  }
}",en,0.129088,0.435201,0.112618,0.152135,0.055425
5,0:3:39,0:3:40,219,I'm Jack Torrance.,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.117493,
        ""joy"": 0.463943,
        ""fear"": 0.191274,
        ""disgust"": 0.052908,
        ""anger"": 0.048989
      }
    }
  }
}",en,0.117493,0.463943,0.191274,0.052908,0.048989
6,0:3:41,0:3:43,221,"Come on in, Jack.",The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 17,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.149239,
        ""joy"": 0.532857,
        ""fear"": 0.120751,
        ""disgust"": 0.013247,
        ""anger"": 0.098345
      }
    }
  }
}",en,0.149239,0.532857,0.120751,0.013247,0.098345
7,0:3:44,0:3:46,224, Very nice to meet you.  Nice to meet you.,The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 42,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.044802,
        ""joy"": 0.993128,
        ""fear"": 0.010915,
        ""disgust"": 0.002335,
        ""anger"": 0.009908
      }
    }
  }
}",en,0.044802,0.993128,0.010915,0.002335,0.009908
8,0:3:46,0:3:48,226,"This is my secretary, Susie.",The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.112509,
        ""joy"": 0.610074,
        ""fear"": 0.023383,
        ""disgust"": 0.015344,
        ""anger"": 0.033331
      }
    }
  }
}",en,0.112509,0.610074,0.023383,0.015344,0.033331
9,0:3:48,0:3:51,228," Susie, how do you do?  Any trouble finding us?",The Shining,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 47,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.256193,
        ""joy"": 0.211738,
        ""fear"": 0.193755,
        ""disgust"": 0.06699,
        ""anger"": 0.033865
      }
    }
  }
}",en,0.256193,0.211738,0.193755,0.06699,0.033865
